BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Area,Intensity Variation
ι Serpentis,,0.011,90.909,4.59,4.52,4.56,9750.0,15.693,19.67,15h 41m 33.1s,+19° 40′ 13″,0.45,0.43,0.43,4565.246860308554,59.5323
ρ Herculis,,-0.002,-500.0,4.44,4.52,4.49,12000.0,17.395,37.146,17h 23m 41.0s,+37° 08′ 45″,0.33,0.33,0.32,8189.831541254664,76.0987
,,0.035,28.571,4.76,4.54,4.7,9250.0,2.033,70.907,02h 01m 57.4s,+70° 54′ 25″,0.46,0.46,0.44,12816.632709276751,66.1809
κ² Boötis,,0.01,100.0,4.88,4.54,4.74,8000.0,14.225,51.79,14h 13m 29.0s,+51° 47′ 25″,0.61,0.58,0.56,10656.903868546473,48.4586
ψ Boötis,,0.018,55.556,7.11,4.54,5.78,4700.0,15.074,26.948,15h 04m 26.7s,+26° 56′ 51″,1.24,1.86,1.46,6146.382257427241,1.1544
,,0.032,31.25,4.9,4.54,4.93,7050.0,17.444,-4.913,17h 26m 37.9s,-05° 05′ 12″,0.84,0.72,0.68,1161.5530057344602,25.2924
,,0.023,43.478,7.57,4.55,5.91,4400.0,7.001,76.978,07h 00m 04.0s,+76° 58′ 39″,1.34,2.24,1.74,13213.94941222029,1.0494
ξ Boötis,,0.156,6.41,5.59,4.55,5.31,5200.0,14.856,19.101,14h 51m 23.3s,+19° 06′ 04″,1.67,1.41,1.3,4438.192959624251,0.9275
,,0.008,125.0,7.87,4.55,6.12,4400.0,21.11,47.648,21h 06m 36.1s,+47° 38′ 54″,1.16,2.24,1.58,10023.131354005607,0.5194
,,0.008,125.0,6.76,4.56,5.66,4850.0,21.699,71.311,21h 41m 55.3s,+71° 18′ 41″,1.28,1.69,1.38,12847.595498255852,0.8076
ω Herculis,Kajam,0.041,24.39,4.53,4.57,4.57,12000.0,16.424,14.033,16h 25m 25.0s,+14° 02′ 00″,0.31,0.33,0.31,3288.7012765190693,72.2334
ψ¹ Draconis,Dsiban,0.054,18.519,5.01,4.58,5.0,6750.0,17.699,72.149,17h 41m 56.3s,+72° 08′ 56″,0.91,0.77,0.73,12909.781950669512,31.9141
,,0.009,111.111,4.38,4.58,4.52,12000.0,19.891,24.08,19h 53m 27.7s,+24° 04′ 47″,0.34,0.33,0.32,5533.755403638022,73.9214
,,0.013,76.923,5.86,4.59,5.37,5600.0,18.912,22.645,18h 54m 44.9s,+22° 38′ 42″,1.12,1.15,1.01,5221.927745696704,0.7376
π Draconis,,0.02,50.0,4.67,4.59,4.61,9500.0,19.344,65.715,19h 20m 40.1s,+65° 42′ 53″,0.46,0.43,0.43,12362.58082477497,69.2407
