BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,Diameter_U,Diameter_V,Diameter_B
,,0.021,47.61904761904761,9.09,7.13,8.69,2450.0,8.276083333333334,11.72638888888889,23.68,7.61,9.17
,,0.008,125.0,7.48,7.13,7.49,7050.0,12.344805555555556,27.054722222222225,0.26,0.22,0.21
,,,,7.06,7.12,7.09,9750.0,14.475916666666667,28.290833333333335,0.14,0.13,0.13
,,,,6.750000000000001,7.11,7.140000000000001,14000.0,20.52027777777778,11.260555555555555,0.09,0.09,0.08
,,,,,7.1,7.42,7500.0,22.05477777777778,-28.095833333333335,,0.2,0.19
,,0.011,90.90909090909092,,7.1,,6750.0,0.8314444444444444,27.710277777777776,,0.24,
,,,,9.450000000000001,7.1,8.9,2450.0,0.03536111111111111,-13.32388888888889,20.06,7.72,8.33
,,0.018,55.55555555555556,7.609999999999999,7.09,7.59,6900.0,2.616027777777778,24.648333333333333,0.26,0.23,0.21
,,0.014,71.42857142857143,9.799999999999999,7.08,8.52,2900.0,12.641666666666666,6.988333333333333,4.88,3.35,3.54
,,,,6.48,7.07,6.99,20000.0,10.530833333333334,-80.07888888888888,0.07,0.07,0.06
,,,,7.66,7.05,7.41,8250.0,16.142833333333332,-38.89472222222222,0.16,0.17,0.15
,,,,,7.05,7.39,7200.0,21.304361111111113,-16.53777777777778,,0.22,0.21
,,,,,7.04,7.87,5800.0,6.313,-49.64083333333333,,0.34,0.29
,,,,6.04,7.04,6.86,26000.0,6.835,-26.666111111111114,0.06,0.06,0.05
,,,,7.42,7.04,7.43,7500.0,13.452972222222222,64.71944444444445,0.22,0.2,0.19
,,0.012,83.33333333333333,8.9,7.04,8.1,5200.0,17.984861111111112,-29.746666666666666,0.36,0.45,0.36
,,0.009,111.11111111111111,7.46,7.04,7.34,9250.0,18.09536111111111,12.00388888888889,0.13,0.15,0.13
,,,,,7.03,,12000.0,5.009055555555555,3.615277777777778,,0.11,
,,0.003,333.3333333333333,7.06,7.03,7.04,9750.0,11.919777777777778,46.469722222222224,0.14,0.14,0.14
,,,,,7.03,7.12,9500.0,15.4185,-37.830555555555556,,0.14,0.14
,,0.021,47.61904761904761,7.41,7.02,7.34,7500.0,8.44438888888889,24.534166666666668,0.22,0.21,0.19
,,,,,7.01,8.23,4700.0,4.060222222222222,-19.84166666666667,,0.6,0.47
ζ¹ Antliae,,0.001,1000.0,7.18,7.0,7.09,9500.0,9.512611111111111,-30.108611111111113,0.14,0.14,0.14
,,,,7.31,7.0,7.27,9250.0,15.552527777777778,-23.510555555555555,0.14,0.15,0.13
,,0.011,90.90909090909092,7.42,7.0,7.36,6900.0,0.8313333333333334,27.710833333333333,0.28,0.24,0.23
,,0.004,250.0,,7.0,,16000.0,3.0907500000000003,25.255277777777778,,0.08,
,,,,6.91,6.99,7.41,30000.0,4.130861111111111,62.330000000000005,0.04,0.06,0.04
,,0.016,62.5,7.380000000000001,6.99,7.3500000000000005,7050.0,12.302527777777778,-2.0455555555555556,0.27,0.23,0.22
,,,,,6.98,8.450000000000001,4400.0,5.229583333333333,-34.17444444444444,,0.73,0.54
,,0.011,90.90909090909092,7.48,6.98,7.5,6600.0,21.97019444444444,82.86972222222222,0.31,0.27,0.24
,,0.003,333.3333333333333,7.34,6.97,7.1899999999999995,7500.0,7.413111111111111,-36.71,0.23,0.21,0.21
,,,,15.79,6.95,9.98,4000.0,5.760944444444444,20.695,0.05,1.01,0.39
,,,,9.88,6.95,8.58,2600.0,6.096027777777778,-23.804444444444446,10.33,6.04,6.58
,,,,7.85,6.93,7.63,5500.0,4.2571666666666665,6.199722222222222,0.48,0.41,0.38
,,,,8.44,6.93,7.84,6750.0,14.542472222222223,-55.11222222222222,0.19,0.26,0.2
,,0.001,1000.0,7.18,6.93,7.06,9250.0,16.676416666666668,4.207222222222223,0.15,0.15,0.15
,,,,7.3500000000000005,6.92,7.37,6900.0,6.260833333333333,36.14861111111111,0.29,0.25,0.23
,,,,6.35,6.92,6.8,16000.0,20.201055555555556,47.73694444444445,0.09,0.08,0.08
,,,,5.74,6.91,6.63,15882.0,6.903611111111111,-22.071666666666665,0.12,0.08,0.09
,,0.004,250.0,,6.91,,8250.0,8.924861111111111,-6.029722222222222,,0.18,
,,0.007,142.85714285714286,,6.9,7.25,7200.0,0.8644722222222222,-42.29083333333333,,0.23,0.22
,,,,9.830000000000002,6.9,8.46,2900.0,2.798888888888889,-11.539444444444445,4.82,3.64,3.64
,,,,,6.9,11.09,4000.0,19.07338888888889,-4.3149999999999995,,1.03,0.23
,,,,6.789999999999999,6.89,6.859999999999999,9750.0,7.240722222222223,24.710833333333333,0.16,0.14,0.15
,,,,8.68,6.89,7.91,5400.0,7.7186111111111115,-37.13583333333333,0.35,0.44,0.35
,,,,,6.89,,8000.0,7.7579722222222225,-13.313888888888888,,0.2,
,,,,,6.89,,2900.0,21.87172222222222,21.273055555555555,,3.66,
,,,,7.409999999999999,6.89,7.35,7200.0,23.789805555555557,-67.60583333333332,0.25,0.24,0.21
,,,,6.359999999999999,6.88,6.8,16000.0,11.181861111111111,-57.54472222222222,0.09,0.09,0.08
,,,,,6.86,6.82,12000.0,3.843777777777778,-35.57472222222223,,0.11,0.11
,,,,,6.86,6.86,10000.0,4.7637777777777774,-33.995,,0.14,0.14
,,,,8.81,6.86,7.92,5100.0,14.315472222222223,38.7675,0.41,0.51,0.41
,,0.016,62.5,7.28,6.86,7.29,7500.0,14.38961111111111,8.445,0.24,0.22,0.2
,,,,7.08,6.85,6.96,9750.0,0.6446666666666666,-72.86277777777777,0.14,0.15,0.14
,,,,,6.85,8.209999999999999,4700.0,2.754583333333333,-45.71277777777778,,0.64,0.48
δ Orionis,Mintaka,0.014,71.42857142857143,5.9799999999999995,6.85,6.6899999999999995,26000.0,5.533472222222222,0.28444444444444444,0.07,0.06,0.06
,,0.005,200.0,,6.84,,9500.0,1.0009444444444444,44.711111111111116,,0.15,
,,,,7.390000000000001,6.84,7.28,6750.0,1.6467222222222222,-52.56111111111112,0.3,0.27,0.26
,,0.003,333.3333333333333,7.26,6.84,7.109999999999999,7500.0,7.41313888888889,-36.70916666666667,0.24,0.22,0.22
,,,,7.29,6.84,7.04,8250.0,13.587250000000001,44.19694444444444,0.19,0.19,0.18
,,0.02,50.0,6.499999999999999,6.84,7.1499999999999995,30000.0,18.31202777777778,-17.380555555555556,0.05,0.06,0.04
,,,,,6.83,,5000.0,3.8601666666666667,22.031666666666666,,0.55,
,,,,6.59,6.83,6.76,12000.0,8.531833333333335,9.814444444444446,0.12,0.12,0.11
,,,,6.41,6.83,6.75,14000.0,23.921277777777778,-30.115833333333335,0.1,0.1,0.09
,,0.008,125.0,7.35,6.82,7.21,6900.0,4.726277777777778,-7.206388888888889,0.29,0.26,0.25
,,,,,6.82,7.86,4850.0,5.394166666666667,-36.663333333333334,,0.6,0.5
,,0.01,100.0,,6.82,,8000.0,6.193472222222223,48.713055555555556,,0.2,
,,,,6.78,6.82,6.82,12000.0,9.345611111111111,-30.239444444444445,0.11,0.12,0.11
,,,,,6.82,7.12,7200.0,9.73772222222222,-38.428888888888885,,0.24,0.24
,,-0.01,-100.0,7.66,6.82,7.46,7200.0,19.746861111111112,29.264722222222222,0.22,0.24,0.2
,,,,,6.8,,7350.0,13.469916666666666,50.58722222222222,,0.24,
ο Ophiuchi,,0.013,76.92307692307692,7.359999999999999,6.8,7.31,6600.0,17.30013888888889,-23.715833333333332,0.33,0.29,0.27
,,,,13.93,6.8,9.89,4000.0,18.83888888888889,-6.092499999999999,0.11,1.08,0.4
,,,,,6.8,7.72,5200.0,23.22083333333333,-48.38111111111111,,0.5,0.43
,,0.004,250.0,6.4,6.8,6.78,16000.0,3.0907500000000003,25.255277777777778,0.09,0.09,0.08
,,,,6.51,6.79,6.88,20000.0,4.49525,10.521666666666668,0.07,0.08,0.06
,,0.052,19.23076923076923,7.95,6.79,7.59,5000.0,7.066333333333334,-42.388333333333335,0.65,0.56,0.51
,,,,8.459999999999999,6.79,7.76,4850.0,11.972305555555556,-39.052777777777784,0.58,0.6,0.53
,,,,6.330000000000001,6.78,6.720000000000001,14000.0,1.9656666666666667,41.69444444444444,0.11,0.1,0.09
,,,,5.86,6.78,6.6000000000000005,26000.0,7.940083333333334,-39.26361111111111,0.07,0.06,0.06
,,,,7.31,6.77,7.2299999999999995,7050.0,0.2802777777777778,-77.21944444444445,0.28,0.26,0.24
,,,,7.11,6.77,6.96,7750.0,2.4987222222222223,-21.31722222222222,0.24,0.22,0.22
,,,,,6.77,6.71,12000.0,2.559333333333333,-61.41305555555555,,0.12,0.12
,,,,,6.77,6.81,9750.0,11.11075,-27.272222222222222,,0.15,0.15
,,,,8.27,6.77,7.6899999999999995,5000.0,17.676722222222224,57.31027777777778,0.56,0.56,0.49
,,,,6.38,6.77,6.6899999999999995,12000.0,21.237972222222222,-9.394722222222223,0.13,0.12,0.12
,,,,7.06,6.76,6.96,8250.0,4.380805555555555,-81.10083333333333,0.21,0.2,0.19
,,,,6.64,6.76,6.75,10000.0,7.4343055555555555,-3.4625,0.17,0.15,0.15
,,,,,6.76,7.89,4700.0,7.56625,-38.094166666666666,,0.67,0.55
,,,,5.96,6.76,6.6,24000.0,7.6787222222222224,-26.054166666666667,0.07,0.07,0.06
,,,,,6.76,,9000.0,9.552000000000001,49.43861111111111,,0.17,
,,,,7.109999999999999,6.76,7.109999999999999,7200.0,9.589555555555556,39.96333333333334,0.29,0.25,0.24
,,,,,6.76,,5000.0,11.972388888888888,61.46472222222223,,0.56,
,,,,6.82,6.76,6.92,12000.0,18.046194444444446,-4.64138888888889,0.11,0.12,0.1
,,,,6.54,6.76,6.7,12000.0,22.394805555555553,78.24333333333334,0.12,0.12,0.12
,,,,7.07,6.75,6.92,9250.0,3.5735277777777776,-64.23555555555555,0.16,0.17,0.16
,,,,,6.75,7.8100000000000005,5200.0,5.485194444444445,-29.883333333333333,,0.51,0.41
,,,,10.0,6.75,8.2,4400.0,5.584,-57.12888888888889,0.44,0.81,0.61
,,,,7.3,6.75,7.1,7500.0,6.293111111111111,-9.274722222222222,0.24,0.23,0.22
,,,,7.31,6.75,7.1,9250.0,12.836666666666668,-59.59916666666667,0.14,0.17,0.14
,,,,7.1000000000000005,6.75,6.95,9750.0,18.826527777777777,-18.857777777777777,0.14,0.15,0.14
,,,,6.57,6.75,7.0,26000.0,18.988194444444446,10.140833333333333,0.05,0.07,0.05
,,0.044,22.72727272727273,7.590000000000001,6.75,7.4,5600.0,19.201277777777776,49.85416666666667,0.51,0.43,0.4
,,,,6.25,6.74,6.66,16000.0,0.17491666666666666,57.16555555555556,0.09,0.09,0.08
,,,,6.59,6.74,6.74,12000.0,3.0148333333333333,52.352222222222224,0.12,0.12,0.11
,,,,,6.74,6.71,14000.0,9.052444444444445,-24.495555555555555,,0.1,0.1
,,,,7.1000000000000005,6.74,7.0600000000000005,6900.0,15.601138888888888,52.069722222222225,0.33,0.27,0.27
,,,,5.82,6.74,6.69,30000.0,18.050472222222222,-21.28166666666667,0.06,0.06,0.05
,,,,6.55,6.74,6.76,12000.0,18.41911111111111,5.084722222222222,0.12,0.12,0.11
,,0.025,40.0,7.5200000000000005,6.74,7.37,5900.0,19.15122222222222,34.60055555555556,0.44,0.38,0.35
ο Capricorni,,,,7.0,6.74,6.96,8250.0,20.49791666666667,-17.413333333333334,0.21,0.2,0.19
,,,,6.090000000000001,6.74,6.720000000000001,26000.0,23.056583333333332,60.445277777777775,0.06,0.07,0.06
,,,,5.9,6.73,6.6000000000000005,26000.0,0.21400000000000002,37.69333333333333,0.07,0.07,0.06
,,,,,6.73,,5000.0,1.2900277777777776,31.744722222222222,,0.57,
θ¹ Orionis,,0.001,1000.0,5.87,6.73,6.75,30000.0,5.58775,-4.612777777777778,0.06,0.06,0.05
,,,,,6.73,6.680000000000001,12000.0,8.447444444444445,-28.78472222222222,,0.12,0.12
,,,,10.220000000000002,6.73,8.350000000000001,4400.0,9.120750000000001,-50.78805555555555,0.39,0.82,0.56
,,,,6.34,6.73,6.7,16000.0,18.24002777777778,-69.24861111111112,0.09,0.09,0.08
,,,,7.0,6.73,6.86,8750.0,19.06963888888889,3.3305555555555553,0.19,0.18,0.18
,,0.007,142.85714285714286,6.44,6.73,6.720000000000001,12000.0,19.209555555555553,16.84638888888889,0.13,0.12,0.11
,,,,6.94,6.73,6.840000000000001,9000.0,22.828027777777777,-76.94944444444445,0.18,0.17,0.17
,,,,7.069999999999999,6.72,7.029999999999999,7500.0,1.0767777777777778,39.99111111111111,0.26,0.24,0.22
,,,,8.33,6.72,7.67,5200.0,4.809388888888889,-42.019999999999996,0.47,0.52,0.44
,,,,,6.72,6.99,7500.0,4.925055555555556,-24.272222222222222,,0.24,0.23
,,0.025,40.0,7.12,6.72,7.17,6750.0,6.39625,4.595555555555555,0.34,0.29,0.27
,,,,6.12,6.72,6.62,18000.0,7.651972222222223,-17.320833333333333,0.09,0.08,0.08
,,,,,6.72,7.96,5000.0,7.831888888888889,-59.948888888888895,,0.57,0.43
,,,,,6.72,,9500.0,7.940777777777778,56.504444444444445,,0.16,
,,,,,6.72,,4700.0,19.02636111111111,25.02583333333333,,0.68,
,,,,7.14,6.72,7.069999999999999,6900.0,20.067,-6.530277777777778,0.32,0.28,0.27
,,,,,6.72,6.779999999999999,14000.0,23.40972222222222,41.11277777777778,,0.1,0.09
,,,,6.27,6.71,6.68,14000.0,1.7008333333333332,61.038333333333334,0.11,0.1,0.1
,,,,10.0,6.71,8.19,4550.0,4.208777777777778,-43.63166666666667,0.38,0.75,0.54
,,,,6.31,6.71,6.64,12000.0,5.888638888888888,20.299166666666668,0.14,0.12,0.12
